Word,Frequency,PMI,R_Entropy,L_Entropy
之,2999,80,7.947663919918935,8.2841796424797
而,2089,80,7.354575005231319,8.619468563738101
不,1941,80,7.245553629208994,6.364524971988511
也,1646,80,5.821055519933178,7.952674662672892
以,1222,80,7.644264109926403,6.432504961715038
其,1220,80,7.670650873774505,7.069918403534531
者,1143,80,6.157767343516985,8.028882648797989
为,986,80,7.748383816064014,6.2859285121597805
曰,983,80,5.6166016847827445,5.840790665891501
人,979,80,5.924778529227946,6.401037241129351
子,956,80,6.087527720297636,5.498308483495363
无,846,80,7.086557304280436,6.588770509567757
于,837,80,7.556000333960866,7.526581660804825
乎,807,80,6.866989648162775,7.673390649390853
有,781,80,7.3918119921391545,6.747108568162677
天,661,80,3.569257927987618,5.987630922437528
知,603,80,5.90872363087747,4.9155455175013705
所,571,80,6.055358066363801,3.3174491773109502
则,483,80,7.243731678590145,6.627502776005412
是,452,80,5.872578315832302,5.18940097329349
与,446,80,6.166868970346809,6.53496972008226
矣,445,80,2.1280852788913944,6.991528041667639
夫,428,80,6.313346011176835,5.359857435667719
下,425,80,5.772259458452777,2.489304185977808
吾,409,80,6.284212025463943,5.583425025889808
然,401,80,5.41810260008435,6.2935326522566015
大,369,80,6.894345515991202,5.923343265112384
道,354,80,4.984599484913378,5.15072597931622
若,343,80,6.524877588154206,6.135773900385346
物,341,80,5.330982914344524,4.646227813504687
谓,340,80,5.774661741142113,4.086756845631936
可,340,80,5.111022098882417,3.950680483015994
故,323,80,6.42764021521342,4.18262126598192
非,306,80,6.073830550215357,5.039319903770115
得,304,80,5.863426425959339,5.213503524940796
生,294,80,5.456233938702311,5.779380919073926
何,272,80,5.272403852681019,5.220163404629251
言,259,80,5.062131160574459,5.34497890527152
能,257,80,6.643316455183381,4.148448280026001
至,248,80,5.006282118245499,5.702872260506769
此,244,80,6.087220454752354,4.235730847850225
一,234,80,6.322072832748018,6.138946346399782
见,230,80,5.8311001803578275,5.579977587194326
行,210,80,5.455297179502669,5.579870823049474
自,203,80,6.19554956995491,5.056265322242553
德,201,80,4.568764927847121,5.33256504743183
我,198,80,5.7545712639011315,5.822580799804594
焉,196,80,4.120010375622985,6.59437103503561
相,191,80,6.097170993581562,5.941535784537172
已,186,80,4.329858530118127,4.702759677803247
心,182,80,5.646063563247573,4.95250602931596
君,178,80,4.846047229692983,5.002005907242197
闻,176,80,4.686238827826587,5.2811870954446585
死,174,80,4.281293418028161,5.459819509195564
形,173,80,5.212824895721036,4.913429283669985
未,171,80,4.3089094855762955,4.931995268661769
王,170,80,5.318460153540638,5.00245038125126
今,169,80,5.3526988639547985,3.5305505867446416
问,169,80,4.4424761515710465,4.899508580675214
邪,162,80,2.0,5.987621993821573
使,159,80,5.511445858038411,5.316549232581138
将,158,80,5.94171803234305,5.51171477320115
地,146,80,3.930723987430064,2.2107425819480566
恶,144,80,4.404201459732676,5.065810500204244
足,144,80,3.2661084873620094,4.265132194946552
亦,143,80,5.754978302825204,4.731597274763976
万,143,80,2.2840669790645753,5.077857533452814
哉,142,80,3.238901256602631,5.5601160838178405
始,141,80,5.015477507603415,4.305134738451425
上,139,80,5.387230511747589,4.99057317260718
彼,138,80,5.422351089070189,4.737322779818595
成,138,80,5.020602609246245,5.41730762021596
且,137,80,5.57933521551141,4.144933482384608
日,132,80,4.735434661216533,4.800685879853295
名,127,80,4.904193592667781,4.6055721552741735
世,125,80,4.056980333486464,4.956223916514299
中,121,80,5.365371475455081,5.090001396825795
三,121,80,5.069392914667171,5.500980895379944
明,121,80,4.484404490156451,4.9364106410705935
乐,120,80,4.654136894674527,5.041288572545981
事,116,80,4.773111845774655,4.933652050127476
义,116,80,4.546345348230532,2.9577318778522534
莫,115,80,4.160392322243261,4.555855565212249
方,114,80,4.87584040734929,4.895790006289207
又,111,80,5.121403783331015,4.293176573495618
治,111,80,3.941855420694186,5.13582837503005
仁,111,80,2.530038826536509,5.181281215471051
身,110,80,5.055295335502323,4.534071892119487
游,109,80,3.849133556500342,4.7950477030705665
神,108,80,4.986353499507427,5.044667976545062
后,107,80,5.184364836149091,2.7253914147300704
必,105,80,5.267270291996889,4.803988316383067
出,105,80,4.445738603071828,5.291303113177143
民,104,80,5.146705150548261,4.690636798592954
虽,104,80,4.764699698370103,4.306256857196537
用,104,80,4.526496508915468,4.6630005092595885
国,101,80,4.785542266397644,5.049251823204936
欲,100,80,6.068406488873022,4.526374486364209
同,99,80,4.902860201451687,5.095129151038668
十,98,80,4.728456102995276,4.372013402632193
先,97,80,3.4440394643889736,5.5332057461128885
公,96,80,5.03575726811721,4.164458856082476
入,96,80,4.288442381314794,5.162870743973092
皆,92,80,5.830361548330737,4.166375237568008
时,92,80,4.4429884298164914,4.362758254565818
穷,91,80,4.7541072144347325,4.234953786449474
汝,90,80,5.615767744495673,4.573987788091234
善,90,80,4.767642313123539,4.741191340151678
在,89,80,5.069629559807878,4.999374675090668
反,88,80,4.792888629014707,4.167746377626473
化,88,80,4.194687426350762,4.8994436210493255
外,86,80,5.0232314287976205,4.65456608159271
四,85,80,4.74662068349375,5.350140637716949
犹,83,80,5.485298811684704,4.206886761135438
忘,83,80,4.748782426247609,4.4908966327441
己,83,80,4.598726955269008,4.681892819449784
适,81,80,4.6756635860387945,4.633959439641334
说,81,80,4.472315220159283,4.814972767530033
性,81,80,4.06967083058548,3.5413326933006757
终,81,80,3.542714693444351,4.5088835666978335
古,81,80,2.455437958346214,3.7362434129830606
止,80,80,3.902637749632639,4.55446147346012
小,79,80,4.746727163769611,4.9859023444260835
丘,79,80,4.48109577906023,4.1604200911461655
观,79,80,3.3439976008525223,4.657192532924142
乃,78,80,5.5654878393962,4.684183719779189
来,78,80,4.703055907333276,4.885588016574086
尝,78,80,4.539658065241739,2.64537301256023
命,78,80,3.5521870064839094,4.922614836792085
多,77,80,5.119599828876183,5.10856474963959
求,77,80,4.825740568482503,4.554770071559543
如,76,80,5.566973285959561,4.634623124449373
五,76,80,5.135116086829456,4.85723006780282
去,76,80,4.791622327114499,4.7074800304172175
士,76,80,4.69129564611606,4.052073827045757
处,74,80,5.081781857047333,5.159662037341067
水,74,80,4.503100429300139,5.086569246460625
利,74,80,4.391449485396055,4.446851304354447
失,74,80,4.292587603168986,4.471711546956744
予,72,80,5.174938392309149,4.453880987666651
食,72,80,4.415939958151261,5.258721867181007
往,71,80,4.104489817597316,4.94115491171698
臣,71,80,3.662152006211749,4.3173892722447516
年,69,80,4.09730942838263,4.192447974873383
异,69,80,3.7970792060743457,4.50759273792998
帝,68,80,3.616205669495364,2.291635485068283
奚,67,80,4.729049514614008,4.288400090002563
孰,67,80,4.417665119361182,3.9121138909722286
二,67,80,4.360087079918572,4.04795994345225
内,66,80,4.836565630242719,4.553618123791379
居,66,80,4.703465189601647,5.0043444463675275
安,66,80,4.440070116549512,4.376368479249035
过,66,80,4.127823711253849,4.213427926416293
阳,65,80,4.308640187005123,3.6706985276761235
固,65,80,4.052497291562248,4.905426425703709
意,64,80,4.675923766179065,4.359286801442599
山,64,80,3.983740670882855,4.384308770777051
数,63,80,4.997063670513363,5.037365359936823
独,63,80,4.43833836330094,4.401141202576915
尧,63,80,4.263101674911319,4.2359263506290326
贵,63,80,4.256034663499063,4.781700535240758
南,63,80,4.161836855537891,3.882021446536749
视,63,80,4.078418520441602,4.4762469370606075
敢,63,80,3.9240332633192825,2.2768104645280083
众,62,80,4.465711736604929,4.577697282049906
正,62,80,4.349692968957871,4.654558294077946
真,62,80,3.766770651532534,3.7865350359743273
长,61,80,4.616295956693764,4.753055907333276
马,61,80,3.954538882256882,5.043073347346253
虚,60,80,4.195675662809303,4.8116413449135775
情,60,80,3.5929555588543405,3.098638548695047
侯,59,80,3.7017507022701484,2.6739163934770964
及,58,80,4.9812868075187025,3.0828735345506004
离,58,80,4.72637013015618,3.885780209966697
乱,58,80,3.766587067124143,4.823465189601647
间,58,80,3.6818808028034025,2.2198286396134463
女,57,80,5.159325271227372,3.984769618706743
通,57,80,3.9645580388459942,4.819305040629889
辩,57,80,3.569652842106287,4.18581570915303
齐,56,80,4.6901165175936645,4.119237372101816
从,56,80,3.9850050232826306,4.859647825013719
受,55,80,4.288400090002563,3.7618421881310113
父,55,80,3.864398810743117,4.694773835029477
和,55,80,3.837309211135726,4.533184175406309
伯,55,80,3.537797875854202,3.725835717261894
养,54,80,4.416157681804993,4.380392924099244
声,54,80,4.265319531114783,4.178175262485105
常,53,80,4.515311532225103,4.341446071165522
六,53,80,4.238567681552869,4.802915339393915
色,53,80,4.123231428797621,4.49330702711865
实,53,80,3.797902689682947,3.685181430859724
因,53,80,3.6717604217497835,3.936260027531527
存,52,80,3.9511943630832227,4.952368167875316
盗,52,80,3.296836704175492,3.8348295085032618
氏,52,80,2.8591476363749773,4.623214067376849
复,51,80,4.863465189601647,4.790270257403898
易,51,80,4.596483105491915,4.6717302202432744
目,51,80,4.172989962830091,3.802722752862489
应,51,80,4.097713298473773,4.179499692462942
百,51,80,4.091665140378663,4.722966879142464
动,51,80,3.9509745525187356,4.616874605956221
好,51,80,3.6750421191747145,4.425186429663008
患,51,80,3.2234651896016473,3.6936606896881856
立,50,80,4.2390979179887855,3.9065976592457887
亲,50,80,4.1852301329094015,4.457528733996854
语,50,80,4.0423164987875175,3.6061563243186
美,50,80,3.8854423157904976,4.123204629558406
耳,50,80,2.884889451733241,4.993391529870106
风,49,80,3.945038697540245,4.180640983527282
忧,49,80,3.8173931037765767,4.4043457939838815
诸,49,80,2.674104007471253,4.194874554732967
周,48,80,4.784941827437643,3.914569497687415
请,48,80,4.214661719245795,3.506890595608519
文,48,80,3.6579135915088945,4.2280729963885095
礼,48,80,3.5415529132938515,3.905924427043544
海,48,80,3.0111650900458953,3.671494274976483
待,47,80,4.651378958998671,3.734651722911599
合,47,80,4.406198332810096,4.2603326005698765
九,47,80,4.399677289476146,3.6421498816369042
全,47,80,3.9328178173636616,4.378991986900062
